zipcode,Number of Returns,Number of Exemptions,NUMDEP,ELDERLY,Salaries and wages amount
39534,840,830,80,20,14159
39540,5550,10710,3690,1010,189088
39553,7230,14630,5430,1660,253849
39556,2830,6060,2210,570,102542
39560,7860,15450,4940,2120,291849
39561,730,1540,520,160,24349
39562,6350,13550,4720,1540,263474
39563,5240,9890,3750,1340,142398
39564,17570,35690,12140,4000,782135
39565,8160,17520,6060,1690,348526
39567,3900,7850,2860,950,150650
39571,5960,12380,4260,1560,241902
39572,460,940,340,110,14445
39573,3090,6930,2420,750,119550
39574,5480,11650,4070,1110,195381
39576,2450,4730,1670,530,82618
39577,3790,7910,2850,910,122549
39581,4740,10310,4520,800,150026
39601,8710,18420,6960,1910,317314
39629,2350,5350,2020,520,95066
39630,360,740,300,80,8831
39631,1260,2710,1180,300,36091
39633,330,690,270,80,10057
39638,1220,2530,980,310,33716
39641,1580,3490,1240,390,55067
39643,490,1110,440,110,14023
39645,1840,3760,1270,520,62972
39647,420,900,300,110,15070
39648,7950,16440,6960,1500,220546
39652,2890,5960,2350,710,76285
39653,1090,2290,780,330,43397
39654,2190,4740,1790,520,77303
39656,330,650,230,70,9062
39657,910,1880,680,230,30217
39661,1110,2300,910,200,36257
39662,530,1200,450,120,20676
39663,1060,2230,870,220,32956
39664,790,1710,540,230,32112
39665,370,760,280,90,11936
39666,4070,8600,3120,1010,153674
39667,4600,9710,3770,1060,134936
39668,280,570,220,50,9595
39669,2040,4130,1710,470,60658
39701,4720,8840,3370,960,131677
39702,9140,18750,7240,1870,295388
39705,5970,11770,3750,1460,255062
39730,4490,8970,3440,1020,128782
39735,1600,3400,1330,370,49765
39736,230,420,180,40,5914
39739,1140,2270,950,210,27549
39740,2230,5050,1900,440,102319
39741,590,1190,420,160,17662
39743,870,1700,710,150,23127
39744,2110,4500,1670,550,64322
39745,310,790,310,80,13658
39746,1300,2670,890,290,51492
39747,720,1340,470,170,20108
39750,1190,2540,980,250,36417
39751,520,1080,370,130,17517
39752,960,2080,750,210,34427
39755,420,870,320,90,11786
39756,870,1720,750,130,21226
39759,15470,28780,9880,2890,570851
39760,510,920,270,190,20463
39762,310,460,100,70,12558
39766,1110,2330,800,280,40542
39767,280,600,200,80,8712
39769,750,1490,450,220,25545
39772,670,1420,590,140,16909
39773,6610,13000,4990,1520,196846
39776,650,1380,510,130,18787
39813,760,1620,710,150,21190
39815,640,1290,540,130,15981
39817,3940,8320,3530,680,104513
39819,3990,8350,3290,930,123673
39823,3290,6880,2820,750,94290
39824,140,300,100,40,4162
39825,530,1080,380,130,15481
39826,260,510,210,60,6718
39827,1410,3020,1120,300,47940
39828,5820,12950,5740,1210,165613
39834,810,1710,590,220,26300
39836,160,330,130,50,4245
39837,2130,4440,1610,570,66319
39840,1750,3640,1480,450,45306
39841,300,600,240,70,8316
39842,3160,6540,2690,760,84606
39845,2860,6000,2240,760,89246
39846,760,1630,680,160,20609
39851,810,1640,680,250,16965
39854,850,1660,590,270,19537
39859,470,980,330,140,14703
39861,330,700,250,90,10265
39862,510,990,340,170,12758
39866,210,400,120,60,6561
39867,170,310,90,50,3118
39870,800,1690,690,180,21689
39877,180,380,120,60,5348
39885,170,310,100,60,4269
39886,560,1160,470,130,16688
39897,1320,2670,920,350,43466
40003,870,1720,500,210,32797
40004,14070,26850,8590,3030,548242
40006,2120,4330,1410,470,82277
40007,120,230,70,40,3184
40008,1780,3610,1150,390,70411
40009,380,780,270,80,11461
40010,320,710,270,70,22443
40011,1090,2210,710,280,39933
40012,260,520,160,60,8757
40013,2780,5590,1650,650,129651
40014,9640,21150,7550,2250,650891
40019,1710,3340,1120,380,57830
40022,490,970,340,120,28211
40023,2560,5540,1800,590,195697
40026,2610,5750,2130,630,222827
40031,9570,20140,7030,2240,500578
40033,5350,10450,3460,1220,183478
40036,100,200,70,0,2632
40037,1300,2540,820,260,48202
40040,220,500,200,50,7040
40041,170,240,0,170,0
40045,1340,2600,760,340,50900
40046,780,1580,490,160,32846
40047,10340,20650,6470,2130,506191
40050,700,1330,400,190,23584
40051,2020,3840,1140,490,74885
40052,260,510,150,60,8710
40055,960,1870,540,240,45414
40056,1690,3360,1100,430,93749
40057,1480,2970,940,360,48550
40059,9140,19150,6260,2750,1053897
40060,490,990,320,110,16938
40062,150,290,90,30,5211
40065,13710,28330,10190,2950,575669
40067,2480,4900,1530,730,151554
40068,1210,2560,840,310,67329
40069,3820,7650,2500,930,139492
40070,240,480,150,60,8760
40071,6980,14340,4480,1490,345523
40075,500,1120,400,120,18361
40076,1230,2450,700,360,47207
40077,300,530,140,80,11880
40078,990,2010,640,200,32185
40104,460,930,290,90,14738
40107,1010,1930,550,220,40711
40108,5440,10950,3470,1310,214307
40109,1270,2380,610,390,49042
40111,580,1220,420,160,17256
40115,290,620,210,80,9535
40117,1250,2490,780,320,45377
40118,4410,8440,2990,820,139356
40119,790,1650,510,240,23419
40121,2590,6840,2940,90,132247
40140,320,660,230,70,11172
40142,970,2000,640,200,39040
40143,2320,4680,1470,620,77914
40144,740,1670,640,190,23262
40145,320,720,270,60,8008
40146,1500,3160,1040,380,46502
40150,2010,3860,1140,450,71892
40152,310,630,160,120,10244
40155,380,750,290,70,9124
40157,430,870,270,110,15108
40160,10240,19850,6680,2070,296583
40162,2670,5780,1920,540,117102
40165,16390,31630,9520,3520,686609
40170,110,260,90,30,2556
40171,100,200,60,40,3643
40175,6360,13310,4520,1260,249528
40176,480,1050,340,120,17494
40177,650,1290,430,150,20336
40178,160,340,100,50,5365
40202,2180,3180,820,360,135102
40203,6980,12080,4740,880,150755
40204,7590,11000,1980,1460,388014
40205,11810,20260,4760,3640,740615
40206,10490,16390,3550,2210,530058
40207,15830,27910,7120,5100,1051860
40208,5260,7890,2430,570,139024
40209,260,460,160,50,6825
40210,6020,10970,4760,1070,121604
40211,9620,17350,7330,1690,207144
40212,6870,12840,5400,1190,142659
40213,8500,14660,4540,1610,282382
40214,21800,39850,13560,4050,682722
40215,8820,16540,6690,1200,214641
40216,20460,36510,12680,4170,618525
40217,6480,9660,2030,1240,238060
40218,15850,28250,9640,2830,465326
40219,19200,34590,11730,3520,574798
40220,17350,29550,7650,4500,707919
40222,11270,19460,4820,3380,640079
40223,11690,21730,6150,3560,735138
40228,8850,16240,4960,2000,372672
40229,18070,33610,10740,3080,687321
40241,15240,28710,8260,4750,975593
40242,5350,9530,2580,1550,246304
40243,5620,10030,2660,1880,244992
40245,16290,33510,10790,3930,1326735
40258,12900,23390,7630,2670,444049
40272,16920,31900,10320,3820,592868
40291,19240,35700,10340,4830,888396
40299,20400,38750,11440,5270,1052516
40310,350,680,210,100,10574
40311,2730,5750,2010,630,86484
40312,2170,4620,1730,400,62783
40313,980,1910,650,160,25254
40316,120,270,100,20,3583
40322,1140,2430,790,250,33216
40324,21190,43500,14890,3790,1059331
40328,470,1020,360,110,14273
40330,8280,16470,5080,2090,292456
40336,4760,9770,3270,1050,145371
40337,2130,4510,1590,330,66965
40342,10260,20680,6470,2340,408081
40346,280,670,270,50,8118
40347,1430,2840,900,420,72220
40348,210,450,140,70,6063
40350,110,200,70,20,2544
40351,7630,14970,4670,1640,257056
40353,9210,18590,6270,1920,329292
40356,18610,37980,12950,4090,898398
40358,290,630,230,50,11591
40359,2900,5990,2020,700,99008
40360,2760,5920,2180,580,86508
40361,7700,15410,5280,1830,276636
40363,120,210,40,60,3192
40370,1250,2550,810,240,57587
40371,1040,2190,730,210,31646
40372,1030,2090,590,270,41472
40374,660,1450,550,170,19753
40379,1590,3390,1120,380,71925
40380,2760,5610,1920,610,84547
40383,11100,22230,7070,3030,496241
40385,1280,2720,870,310,43724
40387,680,1440,450,160,18151
40390,2750,5640,1840,710,94327
40391,15320,30030,9410,3650,570872
40402,1070,2280,780,210,32398
40403,10570,21870,7250,2130,392716
40409,1360,2840,900,280,45212
40419,1590,3560,1290,310,45389
40422,9570,18770,5870,2720,355314
40437,1670,3530,1160,370,52688
40440,950,1920,640,200,29463
40442,410,870,320,90,11381
40444,5700,11720,3720,1410,206033
40445,280,580,190,50,7760
40447,2360,5260,1820,460,70895
40456,3350,7010,2270,690,107204
40460,300,660,240,40,9045
40461,980,2120,670,250,36741
40464,390,800,240,80,12989
40468,750,1560,470,210,26139
40472,530,1070,350,130,14570
40475,23200,44830,13740,4870,953699
40481,210,450,150,30,6589
40484,4820,9700,3080,1070,155306
40486,770,1670,570,130,22972
40489,1350,2980,1030,310,38272
40502,12950,22370,5580,4000,797768
40503,13220,23780,6500,3630,558266
40504,10870,20810,7920,2210,317337
40505,11620,21330,7250,2540,338374
40507,950,1190,130,200,51070
40508,6920,10800,3520,880,192657
40509,19010,36950,11730,3490,1091197
40510,480,860,250,180,25069
40511,14500,28940,10700,2500,612738
40513,5230,10980,3540,1530,449397
40514,7440,14980,4880,1690,396568
40515,17110,32440,9800,3620,962235
40516,1300,2500,780,310,57382
40517,17090,29520,9290,2800,537397
40601,24050,44170,13130,6550,805545
40604,140,210,50,50,3471
40701,10830,22860,8100,2230,348036
40729,2130,4630,1660,410,63890
40734,1340,2930,1110,240,37565
40737,530,1160,410,100,15192
40740,1120,2470,930,160,33650
40741,8370,17160,5710,1730,282207
40743,850,1600,450,260,33162
40744,7050,14990,5090,1410,247670
40759,870,1980,790,140,21938
40763,120,280,100,30,2694
40769,5830,12460,4660,1140,154025
40771,480,1000,360,80,11438
40806,760,1720,620,140,22090
40807,190,410,120,60,5216
40810,370,830,300,70,10058
40813,230,480,160,50,6167
40815,390,930,380,60,9274
40819,240,520,190,40,6813
40820,110,250,100,0,1772
40823,1040,2260,820,260,25046
40824,130,260,100,0,2496
40826,160,380,150,30,3211
40827,190,420,150,40,5137
40828,1070,2580,1030,160,26798
40829,290,590,200,40,8758
40831,1650,3470,1210,440,52505
40845,110,260,110,0,2353
40854,530,1140,410,130,13740
40855,240,480,170,70,5689
40856,200,410,130,40,5731
40862,170,370,130,30,5133
40863,140,300,110,30,3455
40865,120,280,90,20,3668
40868,240,540,200,40,6432
40870,130,290,100,30,3288
40873,610,1360,480,130,16729
40902,210,480,180,30,4323
40903,310,660,240,50,7440
40906,3730,7910,2870,700,109009
40914,190,450,180,40,4724
40915,430,950,340,100,11182
40923,300,720,290,60,7656
40927,110,300,130,0,3336
40935,640,1460,590,90,14318
40939,200,440,160,40,4779
40940,180,370,120,30,4052
40941,140,330,150,0,2906
40943,330,750,280,60,8802
40949,290,610,200,60,8578
40953,210,480,180,30,4963
40958,150,310,110,30,3128
40962,5130,11410,4300,880,140594
40965,4410,9050,3320,900,112241
40972,420,910,330,80,8577
40977,2720,5800,1980,590,77676
40988,140,300,100,30,2948
41001,8650,17270,5550,1990,438861
41002,970,1930,620,260,34340
41003,980,2100,720,210,34198
41004,1650,3400,1090,390,59183
41005,11180,22090,7350,2210,547492
41006,1950,3850,1180,460,81852
41007,1890,3780,1140,460,91528
41008,3100,6480,2440,690,108640
41010,1260,2580,850,260,46966
41011,11520,19870,6050,2430,558668
41014,3080,5490,1980,490,87851
41015,9800,18290,5790,2080,415994
41016,2730,4670,1390,510,101907
41017,19920,37400,11320,5400,1187922
41018,13800,26000,8700,2640,560093
41030,2770,5570,1880,550,110768
41031,6820,13490,4180,1660,251429
41033,950,1870,630,180,38752
41034,420,900,290,90,15793
41035,4740,9810,3490,880,177154
41039,1120,2280,710,240,37234
41040,3060,6110,1970,630,106259
41041,2920,6130,2070,760,93913
41042,24770,46710,15340,5280,1044052
41043,800,1660,500,210,34333
41044,450,890,270,90,15756
41045,520,1070,390,90,20281
41046,730,1550,570,130,24739
41048,6970,15450,5840,1100,459187
41049,880,2000,690,210,28018
41051,13650,28500,10010,2250,700554
41052,130,240,70,30,5287
41055,730,1590,530,200,27094
41056,5930,11670,3800,1450,214590
41059,1280,2420,700,390,58716
41063,1400,2760,840,320,60910
41064,730,1500,490,170,24313
41071,9250,15360,4440,1640,369848
41073,2890,4680,1140,640,120329
41074,2350,4410,1500,390,87999
41075,8130,15870,5140,2080,519238
41076,8060,13680,3390,2410,371159
41080,820,1640,520,190,39700
41083,490,1000,330,100,20154
41085,350,710,240,50,12122
41086,830,1740,620,170,31861
41091,9780,21480,7630,2250,768104
41092,1610,3350,1110,340,87245
41093,980,2200,740,210,29694
41094,6380,13130,4670,1200,318331
41095,1630,3350,1250,330,55617
41097,2890,5830,2010,550,104590
41098,640,1360,480,140,20944
41101,7090,14070,4630,1790,263177
41102,7890,15920,4790,2300,299348
41121,650,1400,460,160,22810
41124,310,690,240,70,8332
41129,3720,7720,2310,1020,154227
41132,120,280,100,30,3913
41139,3450,6840,2070,930,122061
41141,850,1950,720,150,27138
41143,5350,11250,3710,1280,173869
41144,3900,8270,2680,980,138338
41146,220,440,150,40,4779
41149,170,390,150,30,3790
41159,130,340,130,0,3986
41164,4490,9690,3360,960,135674
41166,230,550,220,60,7526
41168,1140,2400,760,250,42298
41169,2390,4950,1500,760,97849
41171,1300,2880,1030,290,40627
41174,400,810,260,110,12409
41175,2120,4550,1520,520,74805
41179,2580,5650,1920,530,74942
41180,320,750,250,80,9759
41183,690,1370,430,190,22650
41189,960,2030,680,220,31643
41203,130,310,110,30,3481
41204,150,340,120,20,3654
41214,160,380,140,0,4023
41216,380,820,260,80,15035
41219,630,1430,510,130,18476
41222,850,1910,640,190,31090
41224,1500,3400,1210,360,46018
41230,4180,9350,3230,890,140621
41231,320,710,260,70,8759
41232,210,490,160,40,6461
41234,190,400,130,50,5218
41238,380,870,320,80,13933
41240,2330,4870,1630,550,77415
41250,230,560,210,40,6552
41254,160,360,120,30,5613
41255,320,740,270,60,8675
41256,780,1740,600,170,33768
41257,170,390,150,30,5742
41260,230,540,200,50,6680
41262,310,750,290,60,7506
41263,110,270,90,30,3891
41264,150,360,140,20,4733
41265,580,1210,430,110,19365
41267,270,680,290,40,5997
41268,210,470,170,50,6785
41274,270,600,200,50,8843
41301,1880,4130,1510,390,51995
41311,1950,4090,1380,470,51932
41314,1330,2910,1060,300,33492
41317,110,240,90,0,2491
41332,400,830,280,80,11319
41339,3300,7060,2460,670,99125
41348,430,980,360,60,12518
41352,160,380,130,40,5090
41360,130,260,80,20,3839
41365,150,310,110,30,3916
41385,220,500,190,50,5862
41408,130,330,130,20,3813
41421,100,240,80,0,3626
41425,350,810,270,80,10357
41464,120,290,110,30,2842
41465,3560,8100,2840,700,107922
41472,3100,6750,2190,740,95684
41501,6790,13870,4430,1450,280472
41503,210,460,150,60,7579
41512,230,530,200,50,5768
41513,130,280,90,40,4129
41514,1150,2510,850,260,36910
41519,330,750,280,60,11870
41522,1290,2850,940,310,36779
41524,110,230,70,30,2101
41527,200,450,140,70,9705
41528,150,350,120,30,4042
41531,330,720,220,80,10561
41535,120,260,90,20,3589
41537,1340,2970,1090,270,38320
41539,550,1160,400,100,17869
41540,120,280,80,30,4065
41543,170,360,130,40,4614
41544,230,570,230,40,6287
41548,230,460,150,40,6488
41553,630,1410,480,130,17263
41554,210,490,170,40,6730
41555,220,440,140,50,6320
41557,590,1280,440,110,19147
41558,180,420,160,30,5677
41559,180,390,140,40,5312
41560,200,430,130,50,5683
41562,790,1780,680,120,23840
41563,100,240,100,20,2496
41564,310,700,220,60,9629
41568,180,410,160,30,3725
41571,170,330,110,30,4645
41572,1080,2330,770,220,30308
41601,460,940,300,120,15762
41602,280,560,180,50,8325
41603,490,1100,390,70,18653
41604,110,280,120,0,2446
41605,330,710,230,80,9906
41606,150,330,110,40,3236
41607,120,260,80,30,3264
41615,190,430,160,40,6786
41616,170,410,140,40,5771
41622,150,320,100,50,4114
41630,330,710,250,100,8393
41631,240,530,190,40,5889
41632,140,300,100,0,3464
41635,970,2050,690,160,31806
41636,200,490,220,40,4107
41640,350,830,320,90,10348
41642,210,450,150,40,7183
41645,360,810,300,70,11561
41647,500,1090,390,120,12742
41649,850,1790,630,220,22318
41650,210,510,210,40,4501
41653,3860,7920,2580,880,135201
41655,250,570,230,30,5836
41659,250,500,170,70,10124
41660,210,500,200,30,4626
41666,240,550,190,50,6231
41667,120,290,120,0,2357
41669,170,390,160,30,4138
41701,4160,8740,3120,830,142245
41712,130,260,90,30,3251
41713,120,230,80,20,2933
41714,140,360,160,0,3753
41719,480,1030,390,90,13125
41721,220,440,160,40,5671
41722,640,1380,520,110,17260
41723,360,860,350,50,8608
41725,110,230,90,0,2422
41727,370,860,330,60,11250
41729,180,380,160,30,3957
41731,320,760,240,80,9956
41739,110,210,70,30,2776
41740,230,510,200,40,8492
41746,200,470,200,30,5942
41749,1200,2660,1000,260,36386
41751,160,350,100,40,5059
41754,140,300,110,30,3316
41759,150,350,140,40,4243
41763,160,340,110,30,4278
41764,140,340,120,40,3957
41773,440,980,360,90,11291
41774,810,1790,600,180,25024
41776,550,1280,490,100,16835
41777,200,440,160,30,5283
41804,240,580,200,70,7106
41815,240,560,210,50,6540
41817,140,340,140,30,3350
41821,130,280,100,30,3820
41822,1040,2220,730,260,33453
41824,350,730,240,80,10101
41825,120,270,100,20,3111
41826,290,630,200,80,7145
41828,230,470,170,50,5736
41831,360,750,260,70,9666
41832,110,240,90,40,3441
41833,100,250,110,0,2384
41834,160,350,130,20,3998
41835,210,460,150,50,5767
41836,290,600,200,50,7124
41837,360,840,320,60,11622
41838,160,360,130,30,5368
41839,220,450,170,50,5388
41840,390,890,330,80,11480
41843,230,530,180,60,5712
41844,280,610,230,60,7696
41845,100,240,80,0,2695
41847,140,350,130,40,4760
41855,180,430,170,30,4448
41858,2360,4990,1770,510,77559
41862,230,510,190,50,5933
42001,13350,25210,7490,3950,584331
42003,12140,23240,7230,3200,417074
42020,960,2030,660,240,36572
42021,610,1170,320,180,17758
42023,960,2000,640,290,30413
42024,570,1100,320,150,19553
42025,8390,16620,4740,2460,314740
42027,950,1960,570,280,37137
42028,250,520,150,60,7887
42029,2840,5420,1530,820,108055
42031,1240,2450,750,380,34105
42035,440,960,300,130,14264
42036,490,1020,310,110,16418
42038,2030,3650,860,720,64023
42039,690,1430,460,200,23920
42040,480,980,310,130,13939
42041,1640,3330,1110,470,40112
42044,1500,2950,720,590,53707
42045,920,1760,430,290,31909
42048,950,1870,590,240,24828
42049,700,1440,460,180,20165
42050,980,2030,720,300,23049
42051,1280,2690,860,270,46790
42053,2160,4350,1310,580,87641
42054,430,870,270,110,15256
42055,1130,2040,490,440,34278
42056,850,1670,550,250,26008
42058,1030,2040,620,280,34648
42064,3180,6510,2070,870,98658
42066,9270,19510,6880,2370,291437
42069,440,930,290,110,14347
42071,11550,21540,6140,3100,371675
42076,400,760,170,170,8752
42078,700,1410,410,200,23254
42079,540,1120,330,130,16255
42081,880,1730,480,240,31794
42082,800,1640,460,240,29543
42083,130,240,60,40,4958
42085,350,710,210,90,10038
42086,1910,3850,1180,510,78526
42087,900,1860,580,270,32023
42088,1050,2180,660,270,32826
42101,22860,43830,15520,3360,686790
42102,700,1270,370,220,27607
42103,9530,18750,5820,2390,511683
42104,15210,29790,9620,3360,657906
42120,890,1900,660,150,27406
42122,2110,4440,1360,560,105931
42123,320,700,220,70,9710
42127,2630,5210,1650,610,73897
42129,2730,5660,1830,640,72855
42133,560,1160,360,160,14849
42134,7470,14470,4630,1610,252262
42140,450,980,350,100,13074
42141,12790,26010,8430,2980,437154
42154,300,660,240,60,7558
42156,130,260,70,40,4112
42157,160,370,140,30,3424
42159,550,1070,330,150,17417
42160,820,1730,590,170,24745
42164,6510,13330,4290,1440,217371
42166,900,1850,600,210,25930
42167,3100,6400,2140,730,90169
42170,690,1360,410,160,25397
42171,3020,6280,2010,660,113178
42202,970,2220,810,230,29142
42204,290,610,220,70,9149
42206,2390,5130,1780,460,80899
42207,480,960,270,110,14091
42210,1680,3470,1110,400,49824
42211,5470,10940,3290,1710,161876
42214,270,560,180,60,7635
42215,500,1100,400,140,15968
42217,1490,3230,1060,360,49411
42220,2540,5600,2100,560,76439
42223,4720,9890,3430,20,128866
42232,350,740,240,70,12303
42234,850,1770,680,180,20831
42236,370,850,310,90,12514
42240,17290,34130,12030,3990,538954
42254,110,220,70,20,3534
42256,1900,3940,1180,530,62516
42259,390,750,180,100,11515
42261,3980,8750,3090,880,134807
42262,3020,6630,2560,200,78604
42265,410,850,290,90,14074
42266,920,2260,930,200,26389
42273,200,390,100,50,7070
42274,1040,2120,630,280,38617
42275,330,700,220,70,9850
42276,6150,12400,4050,1450,197830
42280,190,430,170,40,5413
42285,180,350,90,30,5976
42286,590,1360,550,140,18195
42301,19320,37480,12260,4730,675935
42303,17880,34970,11460,4410,727047
42320,3350,7450,2840,740,107748
42321,180,400,140,30,5500
42323,390,850,300,90,13639
42324,450,990,320,110,16768
42325,820,1740,540,200,28113
42326,140,300,110,30,4414
42327,1700,3480,1090,450,63348
42328,550,1140,370,120,18080
42330,3380,7050,2340,840,106588
42333,420,940,320,90,13416
42337,720,1540,520,150,19324
42339,340,790,290,80,10867
42343,740,1520,480,180,21827
42344,340,710,230,80,9648
42345,4280,8650,2530,1200,157285
42347,2470,5260,1790,640,82444
42348,2040,4360,1450,450,81177
42349,490,1070,360,110,14960
42350,540,1160,370,150,17406
42351,1790,3740,1210,450,69490
42352,780,1650,500,220,24711
42354,140,310,110,20,4498
42355,810,1640,510,190,31681
42361,210,460,160,50,6697
42366,2730,5820,1840,680,121312
42367,400,800,260,100,10421
42368,550,1170,380,130,17830
42369,130,270,80,30,3418
42371,220,410,90,70,5626
42372,700,1480,440,190,24174
42376,2780,5860,1900,630,117261
42378,1450,3170,1100,330,58298
42404,950,1960,580,250,34288
42406,1160,2470,800,270,46816
42408,2350,4850,1510,590,75601
42409,890,1930,560,260,34138
42410,540,1090,390,120,13570
42411,660,1360,420,200,20698
42413,1260,2650,760,370,64450
42420,16160,31350,10000,4010,601665
42431,11040,21660,6760,2900,406839
42436,610,1220,350,160,28113
42437,3020,5880,1790,800,103098
42440,350,710,230,80,11629
42441,570,1220,380,130,23387
42442,1170,2500,840,230,41577
42445,4590,9020,2850,1190,146249
42450,1540,3120,990,410,52261
42451,300,650,210,70,10365
42452,1040,2260,730,260,46366
42453,230,510,180,50,6827
42455,1370,3070,1170,300,47763
42456,710,1550,490,220,29519
42458,440,860,260,110,15088
42459,1650,3530,1160,440,57233
42461,630,1240,410,140,20124
42462,560,1170,380,150,19900
42464,750,1550,500,150,25489
42501,6410,12860,4300,1420,183391
42503,9290,19150,6120,2390,342683
42516,170,330,100,40,5194
42518,1190,2400,770,310,35206
42519,1190,2390,790,280,27898
42528,560,1250,500,120,18386
42533,380,760,250,70,10167
42539,3640,7780,2690,840,94801
42541,210,450,150,50,7025
42544,2230,4510,1290,640,63847
42553,2090,4470,1520,440,66196
42565,230,510,160,60,6329
42566,240,510,170,60,6334
42567,2150,4610,1570,470,63654
42602,3510,7220,2510,800,89440
42603,170,390,120,40,4444
42629,1870,3770,1170,540,54033
42631,100,240,90,20,2656
42633,7020,14590,4850,1610,194229
42634,410,940,360,80,9685
42635,1130,2490,950,210,28284
42642,5000,10490,3580,1120,141637
42647,1120,2550,950,220,28286
42649,450,1050,410,70,11631
42653,1440,3240,1200,270,38797
42701,23060,45010,14150,5270,954924
42712,770,1610,500,180,24134
42713,720,1490,490,140,20365
42715,160,320,100,40,3174
42716,630,1330,450,160,21074
42717,2440,4920,1560,640,65080
42718,10040,19840,6170,2440,319150
42721,1380,2950,960,330,41448
42722,310,720,280,70,9259
42724,2190,4440,1360,510,83336
42726,1800,3790,1240,430,55732
42728,5980,12210,3940,1400,166307
42729,550,1260,460,140,12975
42732,760,1550,500,170,23709
42733,520,1200,450,120,13932
42740,840,1690,500,240,31931
42741,120,210,60,40,2444
42743,3410,6990,2180,860,99141
42746,710,1580,550,180,20061
42748,3750,7540,2380,1000,125578
42749,2020,4070,1320,450,56940
42753,220,500,160,60,5865
42754,5890,12120,4040,1250,192029
42757,1240,2530,790,310,36454
42762,170,370,130,30,5042
42764,230,480,140,50,6873
42765,2350,5320,1970,520,60179
42776,1110,2320,760,260,38163
42782,370,790,230,90,11131
42784,1110,2310,730,260,35222
42788,120,260,60,40,4214
43001,1310,2510,750,340,68016
43003,1340,2600,820,320,51660
43004,13350,26260,9070,2110,800082
43005,100,230,80,20,2877
43006,300,660,250,60,7713
43008,1100,1930,580,220,31491
43009,900,1760,540,220,39159
43010,150,280,90,40,5230
43011,3560,7040,2250,860,159824
43013,570,1110,320,130,24575
43014,1520,3230,1200,350,44588
43015,25020,49650,16050,5940,1384081
43016,21000,39700,12110,3720,1602147
43017,19750,40570,14170,4460,1744514
43019,4040,8500,2870,1070,142343
43021,5950,13420,4950,1320,592252
43022,1180,2150,590,380,47952
43023,5740,11860,3950,1760,421686
43025,2820,5000,1320,830,120060
43026,30320,58520,19700,5270,1758915
43028,3450,6920,2030,1110,133487
43029,270,540,190,60,10007
43031,6380,12150,3630,1510,307302
43033,180,320,100,40,5009
43035,13530,30180,11810,1780,1081243
43036,120,210,70,20,3569
43037,180,350,120,40,4621
43040,15410,30410,9790,3040,806317
43044,2460,4700,1410,590,99341
43045,940,1830,570,240,42758
43046,1590,2830,730,540,64715
43050,13140,24380,7210,3690,459396
43054,12390,24700,8280,2130,1531139
43055,28060,51810,16070,7080,953439
43056,8650,16060,4800,2300,331092
43060,1240,2350,720,260,45632
43061,2130,4080,1130,540,123181
43062,14470,28710,9110,3420,709648
43064,6780,14300,4970,1560,425759
43065,20350,42680,15000,4720,1854535
43066,620,1190,330,170,28566
43067,780,1500,450,160,35710
43068,28250,52690,18300,5590,1067634
43071,1100,2170,660,270,43069
43072,2620,5180,1610,660,103683
43074,6350,12800,4090,1600,364198
43076,4360,8240,2320,1200,183734
43077,130,270,100,20,4837
43078,9640,17650,5230,2570,328432
43080,2440,4790,1510,590,88008
43081,31500,56270,16200,7290,1600291
43082,15690,31500,10030,4530,1307700
43084,410,800,260,80,16352
43085,13030,24330,7400,3480,777657
43101,140,290,110,30,4291
43102,2140,4300,1370,480,87589
43103,5460,10630,3520,1170,230993
43105,4130,7840,2250,1110,186672
43106,730,1510,560,150,24229
43107,1480,2960,990,350,56011
43109,190,370,150,40,5954
43110,18690,35240,12150,3470,826047
43112,2390,4640,1400,670,120953
43113,10800,20240,5880,3190,379150
43115,560,1170,420,140,18821
43116,960,2230,900,130,55282
43119,14520,27860,9410,2290,628633
43123,32560,60470,18670,7210,1493073
43125,7030,12260,3480,1780,259339
43126,190,330,90,70,5698
43128,1080,2040,670,250,33604
43130,26940,50660,15270,7220,972368
43135,1860,3690,1140,440,63973
43136,830,1740,640,170,39973
43137,1180,2250,710,280,46189
43138,7940,15230,4770,1970,255540
43140,9490,17550,5260,2420,381523
43143,2730,5350,1710,690,104853
43144,190,340,110,40,5233
43145,860,1660,510,250,29813
43146,4390,8510,2550,1060,208014
43147,20350,41280,14650,4360,1184455
43148,980,2020,660,230,38723
43149,1160,2240,620,340,45292
43150,1060,2140,710,240,43128
43151,140,270,80,30,4343
43152,390,780,230,130,10214
43153,420,820,280,90,13817
43154,1450,2940,980,310,58533
43155,1190,2220,600,370,47133
43156,120,220,60,30,3579
43157,250,490,190,40,6943
43158,140,250,70,40,3793
43160,10240,18780,5970,2490,320249
43162,3490,6500,1950,890,136118
43164,1070,2170,750,240,38962
43201,12260,14380,2550,640,473484
43202,10210,13930,2330,1140,383331
43203,3450,6050,2340,450,91121
43204,19260,35260,12690,3300,591433
43205,5640,9040,2980,700,165980
43206,11620,18590,5560,1750,568418
43207,21320,39450,14410,4000,617974
43209,13160,23890,7560,3480,781663
43210,510,500,120,0,9429
43211,8970,17850,8260,1290,171497
43212,12340,17200,3020,1780,747093
43213,16840,30740,11190,3530,484814
43214,14800,23140,4520,4110,749392
43215,9310,10970,900,990,608923
43217,1040,2180,990,60,27915
43219,13170,24740,10050,2220,361144
