zipcode,Number of Returns,Number of Exemptions,NUMDEP,ELDERLY,Salaries and wages amount
20783,25070,46200,17190,3090,652483
20784,17240,33030,13080,2600,582381
20785,20480,37480,14300,3430,829678
20794,5520,10370,3400,980,297760
20812,180,350,120,60,17102
20814,15150,26400,6580,4450,1652173
20815,14570,27380,7510,5520,1858297
20816,7470,15520,5010,2730,1005161
20817,16500,34710,11370,5640,2260008
20818,860,1740,540,320,98795
20832,12560,25260,8280,3210,981780
20833,3710,7720,2540,1060,346101
20837,3110,6470,2220,750,260347
20838,150,300,90,70,8783
20839,130,230,60,50,6434
20841,4120,9390,3500,820,385302
20842,890,1610,400,310,67584
20850,23460,43770,12730,5840,1829808
20851,7860,13890,4050,1420,356176
20852,22850,39080,9620,5740,1651607
20853,15710,30550,9620,4080,937430
20854,22620,48700,15730,8220,3102554
20855,7870,15280,4400,2140,597122
20860,970,1920,640,330,88845
20861,1050,2100,620,340,88724
20862,210,390,100,80,16716
20866,7500,14330,5110,1450,421312
20868,400,780,240,120,21808
20871,10060,23940,9380,1300,908206
20872,6490,13100,4390,1410,428716
20874,30620,58430,19800,4660,1802360
20876,12810,24860,8560,1990,717599
20877,19610,36220,12230,3390,740332
20878,30820,62400,20270,6950,2567319
20879,13380,25580,8620,2330,679719
20880,330,580,140,150,21699
20882,6820,13850,4280,1940,601097
20886,18120,33760,11490,3360,817868
20895,9230,18900,6120,2740,876837
20896,460,970,310,190,54286
20901,18600,36070,11920,4080,1102775
20902,27190,50510,16500,5160,1293158
20903,12700,24570,9530,1740,396328
20904,29900,55070,18200,7720,1360733
20905,9380,18420,5720,2760,638868
20906,37790,67560,20540,10650,1473307
20910,23130,37890,9390,4240,1538455
20912,12970,23850,7800,2350,690041
21001,12010,22290,7200,2540,520713
21005,920,2260,930,80,57932
21009,15110,28860,8840,2890,893503
21012,10750,21410,6760,2910,816843
21013,2300,4700,1350,880,178265
21014,18530,35430,10720,5170,1099830
21015,14460,28620,9150,3610,997196
21017,3240,5760,1720,570,161029
21028,1590,3180,950,530,100965
21029,5580,12690,4700,1230,708081
21030,13200,24490,7660,3100,893852
21032,4500,8630,2360,1370,388208
21034,1690,3100,800,460,78855
21035,4050,8210,2530,1250,390329
21036,1060,2280,770,320,103954
21037,10570,19940,5850,2800,756598
21040,11440,22060,8380,1860,421685
21042,19180,41670,13880,5670,1907592
21043,21540,45300,15480,4510,1778223
21044,21730,40000,11980,5430,1451961
21045,19550,37140,11870,4440,1138800
21046,7900,14950,4590,1720,541035
21047,6230,12540,3670,2060,445218
21048,5280,10100,2830,1510,363176
21050,9350,18380,5760,2460,626600
21051,170,360,100,60,15091
21052,210,410,120,60,9676
21053,1560,3170,970,490,101301
21054,6100,12280,3820,1670,487036
21056,120,210,40,70,13307
21057,2120,4050,1050,860,153155
21060,18120,32660,9790,3420,883990
21061,27080,49510,16100,5070,1130636
21071,230,360,80,80,12194
21074,7740,14780,4380,1890,441040
21075,15380,31600,11300,2050,1069354
21076,9260,17230,4980,1300,674502
21077,150,260,70,40,7136
21078,9340,17170,4800,2710,497482
21082,480,870,190,160,33076
21084,3750,7150,1830,1220,228952
21085,8690,15930,4430,2330,433156
21087,2920,5520,1430,1010,192443
21090,5250,9740,2700,1400,292835
21093,19670,36640,10100,7370,1471961
21102,5780,11570,3520,1490,326920
21104,2780,5650,1670,910,295770
21108,8870,17740,5620,2330,662149
