,population_density,median_household_income,Male,Female,White,Black Or African American,American Indian Or Alaskan Native,Asian,Native Hawaiian & Other Pacific Islander,Other Race,"< $25,000","$25,000-$44,999","$45,000-$59,999","$60,000-$99,999","$100,000-$149,999","$150,000-$199,999","$200,000+",Less Than High School Diploma,High School Graduate,Associate's Degree,Bachelor's Degree,Master's Degree,Professional School Degree,Doctorate Degree,Enrolled In Public School,Enrolled In Private School,Not Enrolled In School,April,August,December,February,January,July,June,March,May,November,October,September,day1,day10,day11,day12,day13,day14,day15,day16,day17,day18,day19,day2,day20,day21,day22,day23,day24,day25,day26,day27,day28,day29,day3,day30,day31,day4,day5,day6,day7,day8,day9,year,population
530,2125,30316,7299,7375,3012,8212,105,360,0,2649,2188,1505,567,763,248,30,22,3135,5532,338,407,159,24,0,2918,77,349,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2018,48900
531,47,35196,4505,4944,9081,231,16,10,0,40,1216,969,419,651,253,38,82,1502,3629,604,535,210,112,51,1499,90,157,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2017,15060
532,28793,95556,5381,5729,7568,757,29,2255,5,180,984,596,611,1144,1562,659,812,106,1220,289,3199,1852,841,425,17,221,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,48050
534,7024,54405,4515,6380,9752,859,15,136,3,26,1337,738,301,780,428,378,651,190,1228,201,2543,1025,632,315,270,525,85,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014,26220
535,232,60977,14944,15348,27179,1609,88,300,10,403,2522,1954,1382,3191,1693,722,438,3468,11549,1513,2798,1332,232,130,4294,1180,638,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2015,32950
536,23,36136,400,381,635,81,2,13,0,43,103,64,33,63,12,9,0,122,245,39,34,31,3,0,109,15,10,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,28720
537,26,40658,3560,3784,5556,25,112,23,0,1357,893,744,400,551,168,65,38,896,2699,447,584,189,74,3,1256,206,132,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2017,2740
538,5061,36390,5844,3525,5931,1024,252,114,22,1696,1546,603,282,609,538,176,149,1566,2560,345,1282,451,333,143,965,219,163,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,8450
539,13158,27465,7846,9126,5794,8982,53,1525,11,143,4218,1491,1020,1428,559,175,101,2050,3468,501,2363,1223,923,493,1598,96,232,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014,1190
540,4105,23494,8965,9620,12808,3728,69,1098,11,325,3909,1664,1030,688,179,72,135,678,3618,725,1668,1267,520,597,808,250,135,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017,4250
541,5280,47151,6244,5806,9361,1525,24,444,4,350,1876,1266,633,1499,689,287,299,689,3406,913,2670,828,476,216,458,155,25,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,1820
542,180,52766,9209,9997,14647,2812,92,210,25,976,1586,1429,1128,1883,1045,267,112,2169,7791,1153,1745,921,163,110,2820,181,356,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2017,680
544,90,47649,14166,14651,24623,2227,299,476,52,243,2443,2750,1682,3017,834,184,125,2396,10983,2345,2802,782,99,119,3896,489,526,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2016,2750
545,8320,64093,13839,2954,8704,6649,36,310,4,907,651,367,410,634,444,212,317,2413,3778,446,1389,651,197,206,165,2,114,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015,25060
546,368,60271,12346,12582,22677,119,254,396,35,702,1663,1764,1391,2658,1638,312,244,1348,8149,1604,3755,1333,473,356,3673,656,363,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,7820
547,188,30678,11212,10215,6599,12043,31,117,27,2213,2800,1527,768,794,406,58,84,5018,6040,526,1052,432,38,69,3836,339,499,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2016,9450
548,28793,95556,5381,5729,7568,757,29,2255,5,180,984,596,611,1144,1562,659,812,106,1220,289,3199,1852,841,425,17,221,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2017,3540
549,6947,54417,1454,1166,1293,1155,9,53,1,26,420,315,102,334,270,102,43,182,551,161,662,293,124,33,232,10,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018,3540
550,2900,36111,3227,2050,4020,281,146,217,53,322,885,435,201,461,148,26,150,611,1700,237,843,330,74,47,351,38,63,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,18470
551,3402,38131,3751,2351,4290,1156,59,258,5,151,1122,597,334,454,141,40,142,394,1598,272,942,288,157,121,190,0,30,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017,19810
